STATION,NAME,DATE,PRCP,SNWD,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/1/19,0.09,0,61,43,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/2/19,0,0,43,37,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/3/19,0,0,46,34,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/4/19,0.04,0,45,31,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/5/19,0.53,0,47,40,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/6/19,0,0,52,35,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/7/19,0.02,0,35,28,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/8/19,0.24,0,46,33,1,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/9/19,0.01,0,47,34,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/10/19,0,0,39,30,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/11/19,0,0,34,26,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/12/19,0.05,0,35,22,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/13/19,0.07,1.2,30,27,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/14/19,0,0,35,21,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/15/19,0,0,38,23,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/16/19,0,0,39,25,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/17/19,0.01,0,35,26,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/18/19,0.05,1.2,38,29,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/19/19,0.61,0,39,32,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/20/19,0.75,0,50,17,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/21/19,0,0,19,10,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/22/19,0,0,32,13,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/23/19,0.01,0,53,28,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/24/19,1.27,0,60,34,1,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/25/19,0,0,40,26,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/26/19,0,0,37,22,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/27/19,0,0,48,26,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/28/19,0,0,37,24,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/29/19,0.16,0,43,23,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/30/19,0.01,0,35,7,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/31/19,0,0,18,5,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/1/19,0.06,0,18,12,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/2/19,0,1.2,31,11,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/3/19,0,0,51,22,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/4/19,0,0,60,27,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/5/19,0,0,67,32,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/6/19,0.3,0,54,35,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/7/19,0.06,0,48,41,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/8/19,0.04,0,55,33,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/9/19,0,0,34,25,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/10/19,0.09,0,37,22,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/11/19,0.26,2,34,29,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/12/19,1,2,38,30,1,,,,,1,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/13/19,0.03,0,43,35,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/14/19,0,0,49,32,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/15/19,0,0,62,43,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/16/19,0,0,50,32,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/17/19,0.21,0,38,26,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/18/19,0.15,0,45,32,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/19/19,0,0,39,26,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/20/19,0.65,0,34,26,1,1,,,,1,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/21/19,0.01,2,52,34,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/22/19,0,0,47,37,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/23/19,0.03,0,42,34,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/24/19,0.38,0,50,38,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/25/19,0,0,44,34,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/26/19,0,0,42,29,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/27/19,0,0,39,25,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/28/19,0,0,40,31,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/1/19,0.39,3.1,35,28,1,1,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/2/19,0.31,0,40,33,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/3/19,0.9,0,44,32,1,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/4/19,0.09,0,37,27,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/5/19,0,0,34,21,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/6/19,0,0,28,20,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/7/19,0,0,37,19,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/8/19,0,0,41,24,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/9/19,0,0,50,34,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/10/19,0.89,0,50,38,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/11/19,0,0,56,42,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/12/19,0,0,47,35,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/13/19,0,0,52,29,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/14/19,0,0,68,38,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/15/19,0.03,0,77,56,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/16/19,0,0,56,38,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/17/19,0,0,46,32,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/18/19,0,0,48,33,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/19/19,0,0,50,34,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/20/19,0,0,54,31,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/21/19,0.74,0,51,43,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/22/19,0.27,0,52,39,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/23/19,0,0,52,36,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/24/19,0,0,62,34,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/25/19,0.14,0,59,41,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/26/19,0,0,49,33,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/27/19,0,0,53,31,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/28/19,0,0,59,30,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/29/19,0,0,63,48,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/30/19,0,0,75,50,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/31/19,0.09,0,62,36,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/1/19,0,0,48,32,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/2/19,0,0,53,32,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/3/19,0,0,68,39,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/4/19,0,0,64,46,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/5/19,0.1,0,52,41,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/6/19,0,0,67,42,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/7/19,0.01,0,71,46,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/8/19,0.14,0,82,54,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/9/19,0.02,0,73,55,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/10/19,0,0,64,47,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/11/19,0,0,58,43,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/12/19,0.23,0,75,48,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/13/19,0.05,0,76,61,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/14/19,0.01,0,74,59,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/15/19,0.65,0,71,46,1,,1,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/16/19,0,0,67,43,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/17/19,0,0,63,51,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/18/19,0,0,81,52,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/19/19,0.42,0,78,65,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/20/19,0.56,0,72,58,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/21/19,0,0,70,53,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/22/19,0.01,0,69,56,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/23/19,0,0,79,54,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/24/19,0,0,73,60,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/25/19,0,0,67,55,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/26/19,0.78,0,71,53,1,,1,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/27/19,0,0,68,50,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/28/19,0,0,68,46,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/29/19,0.04,0,64,41,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/30/19,0,0,76,50,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/1/19,0,0,61,53,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/2/19,0,0,83,53,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/3/19,0,0,69,52,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/4/19,0,0,75,57,1,,,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/5/19,1.06,0,63,53,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/6/19,0,0,73,54,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/7/19,0.14,0,77,53,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/8/19,0.46,0,70,58,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/9/19,0.02,0,66,57,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/10/19,0.01,0,82,58,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/11/19,0.15,0,70,53,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/12/19,1.02,0,54,46,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/13/19,0.93,0,53,46,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/14/19,0.01,0,58,47,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/15/19,0,0,74,46,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/16/19,0,0,75,58,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/17/19,0.07,0,82,58,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/18/19,0,0,78,61,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/19/19,0,0,85,60,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/20/19,0,0,89,71,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/21/19,0,0,74,60,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/22/19,0,0,75,54,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/23/19,0.5,0,76,61,1,,1,,,,1,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/24/19,0.06,0,82,65,1,,1,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/25/19,0.03,0,74,57,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/26/19,0.12,0,88,63,1,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/27/19,0,0,83,67,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/28/19,0.35,0,83,63,1,,1,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/29/19,0.2,0,90,69,1,,1,,,,,
